,1,2,3,4,5,6,7,8,9,10
0,-0.5722840681074556,-0.5218151575575766,-0.510822666126854,-0.5074548298743313,-0.5051196713370947,-0.5051100718707964,-0.5044943712928178,-0.5058165887912928,-0.5007339892027338,-0.4991935083724542
1,-0.6175160635528011,-0.5700667082601725,-0.5587915543788123,-0.5524905017948407,-0.5462440703897107,-0.5448487138057181,-0.54194131649998,-0.5406198947929428,-0.5342478166720948,-0.5297477259402564
2,-0.6296859277905442,-0.563571388218134,-0.5424611553703735,-0.5349008984707564,-0.5266192309994824,-0.5220409037190096,-0.519001079720352,-0.51674044828221,-0.5097339531466912,-0.5073645146669515
3,1.075142945203175,0.946853720132704,0.9149826242587984,0.9231371657417196,0.8952173759564679,0.8837837417568094,0.8799909521052152,0.9014162056324063,0.9386076888217966,0.8971221943995061
4,-0.6286586337977774,-0.5679209340881809,-0.5484935528292534,-0.5407417868355838,-0.5326798700984813,-0.5292235854816663,-0.5264620979616745,-0.5238555147471774,-0.5177757442687125,-0.5141240693102811
5,2.393466899586292,2.4446922125850215,2.4162948089184964,2.422827465091601,2.4413896048305244,2.4483039612008697,2.4593044425112596,2.4639362035913153,2.5419572566401314,2.545767428897779
6,0.753627764981418,0.6982349034821652,0.6286023541087457,0.6110270558276603,0.5793490776365801,0.5422719185303203,0.505234376802297,0.49901120586008857,0.5160054927158627,1.1793792995927832
7,-0.6191020515230946,-0.5671877522140177,-0.5515579276929324,-0.5454476793180203,-0.5370020617267725,-0.5346188385853335,-0.5312935669612289,-0.5303936364740142,-0.5231774213578186,-0.5191114253297837
8,-0.5722840681074556,-0.5327771757524271,-0.5232567273333721,-0.5192044241305556,-0.5153777760659779,-0.5137931329168068,-0.5104766998209984,-0.5114244979348643,-0.504997455513631,-0.5025200874612419
9,-0.4640658522402956,-0.43439442412547347,-0.4265502731912434,-0.4200554766723926,-0.417788463950918,-0.41537497261785644,-0.41331437120803566,-0.41275098729269377,-0.40828363191517586,-0.4099036246077513
10,-0.6350837286290781,-0.5777019373026994,-0.5577007281558161,-0.5487554721991962,-0.5388502516371344,-0.5355665153292757,-0.5310941428202466,-0.5302617855405636,-0.5224653404275027,-0.5183831797803177
11,-0.5369376167473061,-0.5033399148993415,-0.4908210234827865,-0.48794841087627816,-0.4828816159583788,-0.4806064121178585,-0.4784332880010235,-0.4780256201378059,-0.4731134444120286,-0.4721552680859403
12,-0.564102471621529,-0.510707127052075,-0.49357086259592403,-0.484404154972147,-0.4804042958276898,-0.4752952284466289,-0.4740056460291636,-0.47239238023569624,-0.46626890375907226,-0.46578168152137045
13,-0.23796806320255925,-0.2780801190780872,-0.2920498129077595,-0.29489740303229073,-0.30414927125097785,-0.3140019164234819,-0.31819420179380264,-0.3265893471613249,-0.32913958708628244,-0.3326401487074981
14,-0.38961981871627616,-0.5211269886118418,-0.5171523412682751,-0.5144454309792208,-0.5118317820333795,-0.5110297446541138,-0.5117963184979706,-0.5162395772951308,-0.5119135585003004,-0.5107184574625212
15,2.2197490870605536,2.279169525009557,2.2362539451506787,2.223921319783885,2.195053266231906,2.16934392267285,2.155442005999631,2.154278220032798,2.199720189193829,2.0946725185156043
16,-0.401816840748344,-0.40708648876026376,-0.41230387306451066,-0.4148774569327925,-0.41987448458653137,-0.42372087395094876,-0.4270221761790487,-0.43281626884033564,-0.4317043064117246,-0.4320989544426592
17,-0.4656754261604384,-0.4211989047907374,-0.41155012662012075,-0.40725070351022885,-0.4068375942863719,-0.4004894874995218,-0.40125785405424774,-0.3992512248353504,-0.39430696465193477,-0.3949359895880215
18,-0.6376012840697353,-0.5722078522445511,-0.550997743343778,-0.5428653364901809,-0.5343112667220327,-0.5312839519669815,-0.5277400303779601,-0.5250883953964384,-0.5188738004648092,-0.5151901720510931
19,-0.423588369720242,-0.40230359881163286,-0.4006194815335816,-0.39491088935453406,-0.39725976544301367,-0.393164263548521,-0.3920670936941286,-0.3917894845187864,-0.3876662191183393,-0.3882862966054208
20,-0.5791615000176834,-0.5260233007322657,-0.5097123378634129,-0.5052678165507002,-0.5017717716884029,-0.4993671673917408,-0.4974404190604674,-0.49742336779092194,-0.492053088933689,-0.4908874917526281
21,-0.3859532947717451,-0.3801821583631191,-0.3772882011491731,-0.3733155898547982,-0.3704150737499011,-0.37033208077024987,-0.368988664035321,-0.3665699618998226,-0.36480921712289927,-0.36312775472320286
