id,vocab_size,hidden_size,num_hidden_layers,num_attention_heads,intermediate_size,hidden_act,hidden_dropout_prob,attention_probs_dropout_prog,max_position_embeddings,type_vocab_size,initializer_range,layer_norm_eps,gradient_checkpointing,position_embedding_type,use_cache,energy_consumption,perplexity,energy_loss,loss,date
30,4528,81,1,16,366,gelu,0.505744333,0.271916557,512,1,0.02,1e-12,False,relative_key_query,True,0.47248900000000005,1991.6246685256922,941.0207480070356,7.596706000976562,2021-04-09 16:22:25.170978
31,5198,60,2,6,318,gelu,0.151181192,0.341737568,512,1,0.02,1e-12,False,relative_key_query,True,0.21674899999999997,969.551045826394,210.14921963182502,6.876833125,2021-04-09 16:54:06.881955
32,9374,37,5,8,1780,gelu_new,0.19623863600000002,0.14840302800000002,512,1,0.02,1e-12,False,absolute,True,0.269374,2289.164197755806,616.6413166062725,7.73594205078125,2021-04-09 17:38:03.116300
33,16891,37,5,6,287,silu,0.772798058,0.517508406,512,1,0.02,1e-12,False,relative_key_query,True,0.371187,2471.456844383454,917.3726516961611,7.812563071289063,2021-04-09 18:48:52.846922
34,29914,60,5,17,260,gelu,0.582616818,0.416815448,512,1,0.02,1e-12,False,relative_key_query,True,0.729791,2519.528907797825,1838.7295211506828,7.831827221679688,2021-04-09 20:30:38.445310
35,27939,24,4,14,2892,relu,0.41277008,0.184726572,512,1,0.02,1e-12,False,relative_key_query,True,0.402753,2259.410690297275,909.9844337492984,7.722859301757812,2021-04-09 21:39:02.020835
36,19453,21,4,5,1104,silu,0.259744572,0.6730936740000001,512,1,0.02,1e-12,False,relative_key,True,0.17009000000000002,1083.3033957293949,184.25907457961281,6.9877703515625,2021-04-09 22:10:13.536478
37,16697,32,5,1,170,relu,0.23667569800000002,0.583703565,512,1,0.02,1e-12,False,absolute,True,0.130045,2098.4532007744783,272.89334649471704,7.64895578125,2021-04-09 22:39:50.939596
38,27547,22,1,12,576,gelu,0.660818606,0.145884037,512,1,0.02,1e-12,False,absolute,True,0.133412,1855.2829644352807,247.5170108512397,7.525792504882813,2021-04-09 22:59:11.579315
39,30505,17,1,7,373,silu,0.378787593,0.21603467199999998,512,1,0.02,1e-12,False,relative_key_query,True,0.09784,1187.9168882454162,116.2257883459315,7.079956538085938,2021-04-09 23:15:01.227855
40,29363,9,2,18,92,relu,0.5354460320000001,0.954221269,512,1,0.02,1e-12,False,relative_key_query,True,0.17066099999999998,1086.7710880940554,185.46944066521962,6.990966274414062,2021-04-08 11:28:10.301332
41,25696,85,1,4,468,silu,0.180710028,0.191894896,512,1,0.02,1e-12,False,relative_key_query,True,0.173045,1650.7406270351055,285.6524118052899,7.408979331054687,2021-04-08 11:51:51.361623
42,8346,64,3,4,1033,gelu,0.518839512,0.638147722,512,1,0.02,1e-12,False,relative_key,True,0.190227,1808.943605578256,344.10991525833487,7.500498310546875,2021-04-08 12:21:17.114896
43,26964,80,6,2,795,silu,0.680243597,0.502786169,512,1,0.02,1e-12,False,relative_key_query,True,0.446887,2522.744920327495,1127.3819092103931,7.833102841796875,2021-04-08 13:45:55.716119
44,21251,7,8,3,441,gelu,0.200352273,0.698441722,512,1,0.02,1e-12,False,absolute,True,0.210142,2401.8856715009306,504.73705878054847,7.784009404296875,2021-04-08 14:34:20.276527
45,6983,37,5,8,211,gelu_new,0.910528883,0.401907367,512,1,0.02,1e-12,False,absolute,True,0.23378800000000002,2602.438743612529,608.4189489916859,7.864204262695313,2021-04-08 15:11:15.738956
46,19866,58,4,4,571,gelu,0.19799931899999998,0.29622698199999997,512,1,0.02,1e-12,False,relative_key_query,True,0.359103,744.1593451923891,267.22985333662245,6.612255185546875,2021-04-08 16:14:45.747349
47,25358,99,4,17,1622,relu,0.387598636,0.187241524,512,1,0.02,1e-12,False,relative_key_query,True,1.211402,2508.439064820345,3038.7281000014955,7.827415952148438,2021-04-08 18:43:00.302297
48,21968,13,1,14,240,silu,0.112817534,0.130325327,512,1,0.02,1e-12,False,absolute,True,0.108622,1381.4789770377422,150.05900944379363,7.230909926757812,2021-04-08 18:59:30.736870
49,28071,23,4,17,2380,relu,0.397096923,0.278319612,512,1,0.02,1e-12,False,relative_key_query,True,0.41787399999999997,2210.255909549923,923.6084779472645,7.700863583984375,2021-04-08 20:03:54.986521
50,12168,67,2,2,576,gelu,0.21344257600000002,0.322383982,512,1,0.02,1e-12,False,relative_key_query,True,0.144199,810.8232644917003,116.9199039164387,6.698050107421875,2021-04-08 20:27:03.813354
51,14966,73,7,12,1765,gelu_new,0.339727929,0.400187339,512,1,0.02,1e-12,False,relative_key,True,0.8596440000000001,2506.9209389030834,2155.0595436024028,7.826810561523438,2021-04-08 22:27:22.207636
52,21738,17,1,14,1860,silu,0.265633655,0.426066094,512,1,0.02,1e-12,False,absolute,True,0.129692,1515.0945940284314,196.49564808873532,7.323233154296875,2021-04-08 22:45:26.031347
53,26671,32,1,11,404,gelu,0.35928626799999996,0.14240905199999998,512,1,0.02,1e-12,False,relative_key_query,True,0.169729,1445.3192321454885,245.3125879528216,7.276085498046875,2021-04-08 23:07:51.638623
54,29462,67,11,11,355,silu,0.42935749700000003,0.272100071,512,1,0.02,1e-12,False,absolute,True,0.780062,2513.221017651878,1960.4682134715592,7.829320483398438,2021-04-09 01:01:45.928454
55,29437,9,2,18,1,relu,0.53469309,0.202741063,512,1,0.02,1e-12,False,relative_key_query,True,0.16786800000000002,1140.1579116435582,191.3960283117808,7.03892205078125,2021-04-09 01:27:48.745053
56,1464,59,9,10,1632,relu,0.640613016,0.830735647,512,1,0.02,1e-12,False,relative_key,True,0.765339,2518.676939325002,1927.6416900660574,7.831489018554688,2021-04-09 03:23:50.755386
57,23458,7,9,10,378,silu,0.28447932600000003,0.24602511600000002,512,1,0.02,1e-12,False,relative_key_query,True,0.524845,1453.005939013462,762.6029020615206,7.281389750976563,2021-04-09 05:10:05.797523
58,11271,59,2,5,700,gelu,0.334579449,0.28955201399999997,512,1,0.02,1e-12,False,relative_key_query,True,0.196401,902.8645031129038,177.32349127587742,6.805572490234375,2021-04-09 05:38:32.988966
59,13130,76,1,4,7,relu,0.226234375,0.32145489899999996,512,1,0.02,1e-12,False,relative_key_query,True,0.15246300000000002,1014.2346527142787,154.6332578567771,6.9218895703125,2021-04-09 06:00:32.881177
60,11528,4,11,8,521,relu,0.40749110899999996,0.820559202,512,1,0.02,1e-12,False,relative_key,True,0.460053,2374.979586072127,1092.6164835112402,7.77274412109375,2021-04-09 07:42:17.597795
61,30159,19,12,1,418,silu,0.363763447,0.20943198899999999,512,1,0.02,1e-12,False,relative_key_query,True,0.5106430000000001,2584.270179246997,1319.6394771412242,7.85719841796875,2021-04-09 09:43:00.805986
62,19936,44,4,4,1152,gelu,0.100539059,0.294839074,512,1,0.02,1e-12,False,relative_key_query,True,0.28978899999999996,684.271073573427,198.29423013976987,6.528354145507812,2021-04-09 10:36:41.896157
63,17829,46,3,8,916,silu,0.312753848,0.378138071,512,1,0.02,1e-12,False,relative_key,True,0.246901,2190.1100768756837,540.7403680906833,7.691707084960938,2021-04-09 11:15:26.352664
64,6215,92,7,9,1571,gelu_new,0.7879604240000001,0.45565668600000003,512,1,0.02,1e-12,False,absolute,True,0.712183,2540.708372667445,1809.4493109714188,7.840198208007813,2021-04-09 12:59:25.323872
65,18938,20,5,1,932,gelu,0.699693672,0.7349768109999999,512,1,0.02,1e-12,False,relative_key_query,True,0.191834,2842.0715280874024,545.2059495191188,7.9522884765625,2021-04-09 13:39:24.989947
66,20336,39,1,8,2488,silu,0.28358328899999996,0.56726554,512,1,0.02,1e-12,False,relative_key_query,True,0.165098,1416.360102726944,233.83822024001302,7.255845551757813,2021-04-09 14:02:30.832248
67,15637,18,4,6,1564,relu,0.143968671,0.22491133100000002,512,1,0.02,1e-12,False,relative_key_query,True,0.224809,1109.9094678323568,249.5176375539243,7.01203373046875,2021-04-09 14:41:57.084328
68,22968,2,2,9,1240,gelu_new,0.991994212,0.310650359,512,1,0.02,1e-12,False,relative_key,True,0.101597,2841.1716165132048,288.6545127228921,7.951971787109375,2021-04-09 15:01:11.877128
69,15862,13,3,12,2979,silu,0.47450249200000005,0.544491666,512,1,0.02,1e-12,False,relative_key_query,True,0.20986799999999997,1877.2854531625414,393.98214348431634,7.537582104492188,2021-04-09 15:34:18.719321
70,12972,47,7,7,45,silu,0.270526303,0.195472868,512,1,0.02,1e-12,False,relative_key_query,True,0.521405,828.4768962149692,431.97199607096604,6.7195889501953125,2021-04-09 17:05:36.172647
71,30310,3,1,16,855,relu,0.351575084,0.172734312,512,1,0.02,1e-12,False,relative_key_query,True,0.08841,1888.5340586592272,166.96529612606227,7.543556176757811,2021-04-09 17:20:37.068267
72,16937,30,2,3,2614,gelu_new,0.45037198700000003,0.110582952,512,1,0.02,1e-12,False,relative_key,True,0.123428,2042.2792811541517,252.0744471142946,7.6218217578125,2021-04-09 17:41:56.348749
73,25890,1,8,13,315,relu,0.466830291,0.160127783,512,1,0.02,1e-12,False,relative_key,True,0.34949600000000003,2838.2314025893547,991.9505222793692,7.950936391601562,2021-04-09 19:02:55.111985
74,17661,34,9,10,160,gelu_new,0.315920967,0.433972459,512,1,0.02,1e-12,False,absolute,True,0.42872,2196.8842290419034,941.8482066748448,7.694795375976563,2021-04-09 20:21:41.124595
75,28612,34,3,13,285,gelu,0.22056774,0.221833347,512,1,0.02,1e-12,False,relative_key_query,True,0.352594,2079.0038722089066,733.0442913176273,7.639644150390625,2021-04-09 21:17:36.005225
76,10794,70,5,5,1790,silu,0.604204301,0.8951895009999999,512,1,0.02,1e-12,False,relative_key_query,True,0.474943,2472.307447023187,1174.2051158115332,7.812907182617187,2021-04-09 22:37:23.008467
77,12430,48,2,7,112,relu,0.558846659,0.127579775,512,1,0.02,1e-12,False,relative_key_query,True,0.208411,1031.1435932271083,214.90166740805492,6.93842375,2021-04-09 23:06:46.877440
78,23692,1,2,9,1264,relu,0.8801035209999999,0.30909917600000003,512,1,0.02,1e-12,False,relative_key,True,0.113936,2981.908260610789,339.7466995809508,8.00031873046875,2021-04-09 23:24:37.162921
79,16960,32,5,7,1099,relu,0.229187797,0.5805990129999999,512,1,0.02,1e-12,False,absolute,True,0.18870599999999998,1637.522650540176,309.0103492928345,7.400939799804687,2021-04-08 11:36:22.579556
80,23956,51,3,1,945,relu,0.392555074,0.510007077,512,1,0.02,1e-12,False,relative_key_query,True,0.13125499999999998,1734.6336605642155,227.6793411173561,7.4585515234375,2021-04-08 12:02:31.400394
81,23004,5,1,11,496,relu,0.331225406,0.466098344,512,1,0.02,1e-12,False,relative_key_query,True,0.077206,1581.8642274515955,122.12940954462788,7.366359321289062,2021-04-08 12:17:13.722584
82,9348,77,7,7,1321,gelu,0.193349264,0.11653345400000001,512,1,0.02,1e-12,False,relative_key_query,True,0.6537109999999999,2350.5680119776466,1536.5921656779196,7.76241228515625,2021-04-08 14:04:10.896747
83,20743,50,12,15,657,gelu,0.479930039,0.37829724,512,1,0.02,1e-12,False,relative_key_query,True,1.030938,2510.6876481417903,2588.363302600001,7.828311958007813,2021-04-08 16:37:59.974637
84,15327,55,2,3,813,gelu,0.205833225,0.198801929,512,1,0.02,1e-12,False,relative_key_query,True,0.146795,759.4294901029799,111.48045199966694,6.63256748046875,2021-04-08 17:02:50.849863
85,24010,14,3,14,1972,relu,0.492206627,0.60384757,512,1,0.02,1e-12,False,relative_key_query,True,0.256736,1810.660434192778,464.8617172329171,7.501446938476563,2021-04-08 17:52:12.019153
86,19767,53,1,7,650,gelu,0.244057505,0.177976799,512,1,0.02,1e-12,False,relative_key_query,True,0.163889,1606.1279205243093,263.22669876680857,7.38158154296875,2021-04-08 18:16:21.184703
87,10429,43,5,8,1432,silu,0.15361746199999998,0.8871931679999999,512,1,0.02,1e-12,False,relative_key_query,True,0.375362,2308.820586443674,866.6435129686702,7.7444921044921875,2021-04-08 19:21:06.783018
88,22016,17,1,14,236,silu,0.110783534,0.130056256,512,1,0.02,1e-12,False,absolute,True,0.112435,1380.6898639945841,155.23786485823106,7.2303385546875,2021-04-08 19:38:49.970640
89,8144,71,3,2,440,gelu,0.287993269,0.38731403700000006,512,1,0.02,1e-12,False,relative_key_query,True,0.201032,853.6590456647384,171.61278526807368,6.749531870117187,2021-04-08 20:17:05.283905
90,20580,42,11,5,2169,gelu,0.25192192199999996,0.356237404,512,1,0.02,1e-12,False,relative_key,True,0.569908,2490.778620683924,1419.5146621567335,7.820350639648438,2021-04-08 22:13:51.088755
91,19331,20,2,10,135,relu,0.449434516,0.30438963199999997,512,1,0.02,1e-12,False,relative_key_query,True,0.151623,986.8375242778695,149.62726594358344,6.89450541015625,2021-04-08 22:38:45.355847
92,18745,15,3,7,494,gelu_new,0.184324497,0.263095026,512,1,0.02,1e-12,False,relative_key_query,True,0.152898,818.2121461835104,125.10300072716636,6.707121650390625,2021-04-08 23:06:36.991133
93,27023,40,1,13,665,silu,0.544054446,0.101537507,512,1,0.02,1e-12,False,relative_key_query,True,0.218536,1723.2542450428891,376.5930896946928,7.45196978515625,2021-04-08 23:38:44.814616
94,26467,36,3,4,2335,silu,0.360908516,0.26170329999999997,512,1,0.02,1e-12,False,relative_key_query,True,0.167924,1545.71244863177,259.5622172240413,7.34324021484375,2021-04-09 00:07:26.871459
95,28853,9,6,2,774,silu,0.824391233,0.48982816100000004,512,1,0.02,1e-12,False,relative_key_query,True,0.226028,2829.412287686941,639.5264005613041,7.947824296875,2021-04-09 01:02:23.765756
96,21867,7,9,10,87,silu,0.274801255,0.282958463,512,1,0.02,1e-12,False,relative_key_query,True,0.354591,1187.233388903156,420.982274604559,7.07938099609375,2021-04-09 02:15:41.222665
97,24062,28,1,9,691,silu,0.17764447600000002,0.18159508600000002,512,1,0.02,1e-12,False,relative_key_query,True,0.124526,846.4473546187003,105.40470328124826,6.7410480078125,2021-04-09 02:35:21.557744
