id,vocab_size,hidden_size,num_hidden_layers,num_attention_heads,intermediate_size,hidden_act,hidden_dropout_prob,attention_probs_dropout_prog,max_position_embeddings,type_vocab_size,initializer_range,layer_norm_eps,gradient_checkpointing,position_embedding_type,use_cache,energy_consumption,perplexity,energy_loss,loss,date
84,15327,55,2,3,813,gelu,0.205833225,0.198801929,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.47544,345.6385326,164.3303839,5.845393525,25:32.5
85,24010,14,3,14,1972,relu,0.492206627,0.60384757,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.631311,714.1704331,450.8636503,6.571121636,49:36.2
86,19767,53,1,7,650,gelu,0.244057505,0.177976799,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.57713,854.0911337,492.921616,6.750037902,57:22.9
87,10429,43,5,8,1432,silu,0.153617462,0.887193168,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.35764,2259.446821,3067.515382,7.722875293,55:50.1
88,22016,17,1,14,236,silu,0.110783534,0.130056256,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,0.375112,706.0512421,264.8482935,6.559687816,39:04.3
89,8144,71,3,2,440,gelu,0.287993269,0.387314037,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.629942,384.9548995,242.4992593,5.953126183,40:59.8
90,20580,42,11,5,2169,gelu,0.251921922,0.356237404,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,1.828564,2341.259637,4281.143088,7.75844437,26:48.6
91,19331,20,2,10,135,relu,0.449434516,0.304389632,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.504179,438.7028914,221.1847851,6.083822399,29:15.2
92,18745,15,3,7,494,gelu_new,0.184324497,0.263095026,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.540155,357.0718963,192.8741701,5.877937152,32:51.0
93,27023,40,1,13,665,silu,0.544054446,0.101537507,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.757963,1409.471779,1068.327458,7.250970288,04:59.5
94,26467,36,3,4,2335,silu,0.360908516,0.2617033,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.656324,665.3243426,436.6683338,6.500274655,23:40.5
95,28853,9,6,2,774,silu,0.824391233,0.489828161,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.767691,2470.457,1896.547605,7.812158433,53:37.7
96,21867,7,9,10,87,silu,0.274801255,0.282958463,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.424909,463.088913,659.8595599,6.137919072,34:43.9
97,24062,28,1,9,691,silu,0.177644476,0.181595086,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.433914,402.4611869,174.6335434,5.997598662,48:25.9
