id,vocab_size,hidden_size,num_hidden_layers,num_attention_heads,intermediate_size,hidden_act,hidden_dropout_prob,attention_probs_dropout_prog,max_position_embeddings,type_vocab_size,initializer_range,layer_norm_eps,gradient_checkpointing,position_embedding_type,use_cache,energy_consumption,perplexity,energy_loss,loss,date
33,16891,37,5,6,287,silu,0.7727980582,0.5175084062,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.030996,2340.683478,2413.235303,7.75819825,30:17.9
34,29914,60,5,17,260,gelu,0.5826168184,0.4168154477,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,2.217803,2291.081169,5081.16669,7.736779111,41:21.8
35,27939,24,4,14,2892,relu,0.4127700795,0.1847265717,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.240951,2258.722653,2802.964135,7.722554735,43:43.5
36,19453,21,4,5,1104,silu,0.2597445721,0.6730936738,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,0.460996,508.1810574,234.2694347,6.230837796,43:36.9
37,16697,32,5,1,170,relu,0.2366756985,0.5837035647,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,0.388278,1422.09948,552.1699417,7.259889565,51:59.0
38,27547,22,1,12,576,gelu,0.660818606,0.1458840367,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,0.39201,1419.382706,556.4122146,7.257977342,26:49.0
39,30505,17,1,7,373,silu,0.3787875926,0.2160346724,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.228047,535.0711123,122.0213619,6.282399658,59:51.1
40,29363,9,2,18,92,relu,0.5354460322,0.9542212693,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.406397,521.1051844,211.7755836,6.255951911,01:05.7
41,25696,85,1,4,468,silu,0.1807100285,0.191894896,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.526631,750.0413755,394.9950396,6.620128372,00:22.4
42,8346,64,3,4,1033,gelu,0.5188395116,0.6381477216,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,0.551228,2242.007389,1235.857249,7.715126899,40:35.1
43,26964,80,6,2,795,silu,0.6802435966,0.5027861689,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.210186,2356.787633,2852.151398,7.765054798,54:32.6
44,21251,7,8,3,441,gelu,0.2003522727,0.6984417222,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,0.624837,1612.623133,1007.6266,7.385617407,38:44.6
45,6983,37,5,8,211,gelu_new,0.9105288826,0.4019073673,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,0.525358,2366.97533,1243.509425,7.769368187,34:33.2
46,19866,58,4,4,571,gelu,0.1979993189,0.2962269822,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.968114,381.8373042,369.6620399,5.944994613,47:30.9
47,25358,99,4,17,1622,relu,0.3875986362,0.1872415237,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,3.609776,2303.098439,8313.669472,7.742010643,22:32.5
48,21968,13,1,14,240,silu,0.1128175337,0.1303253275,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,0.326627,858.0752323,280.2705389,6.754691779,03:15.8
49,28071,23,4,17,2380,relu,0.3970969225,0.2783196124,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.296694,2247.282383,2914.037582,7.717476935,41:02.2
50,12168,67,2,2,576,gelu,0.2134425758,0.3223839818,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.451127,413.4214345,186.5055715,6.024467495,31:41.8
51,14966,73,7,12,1765,gelu_new,0.3397279295,0.4001873391,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,2.487924,2283.426426,5680.991407,7.733432412,46:51.2
52,21738,17,1,14,1860,silu,0.2656336551,0.4260660942,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,0.372331,1131.053119,421.126139,7.030904442,33:39.5
53,26671,32,1,11,404,gelu,0.3592862679,0.1424090522,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.534718,437.8398381,234.1208426,6.081853177,42:51.7
54,29462,67,11,11,355,silu,0.4293574965,0.2721000709,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,1.75712,2291.797363,4026.962983,7.737091663,37:50.4
55,29437,9,2,18,1,relu,0.5346930905,0.2027410626,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.498703,548.473117,273.5251889,6.307138267,12:10.1
56,1464,59,9,10,1632,relu,0.6406130164,0.8307356472,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,2.277916,2295.815324,5229.674459,7.73884332,35:56.4
57,23458,7,9,10,378,silu,0.2844793258,0.2460251164,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.078415,585.3994951,631.3035965,6.372294512,40:23.4
58,11271,59,2,5,700,gelu,0.3345794486,0.2895520137,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.592242,473.0064086,280.1342614,6.159108937,54:39.2
59,13130,76,1,4,7,relu,0.2262343746,0.3214548988,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.51598,764.8965461,394.6713199,6.639740591,15:41.0
60,11528,4,11,8,521,relu,0.4074911091,0.8205592021,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,1.408411,1433.999892,2019.661222,7.268222946,22:03.8
