id,vocab_size,hidden_size,num_hidden_layers,num_attention_heads,intermediate_size,hidden_act,hidden_dropout_prob,attention_probs_dropout_prog,max_position_embeddings,type_vocab_size,initializer_range,layer_norm_eps,gradient_checkpointing,position_embedding_type,use_cache,energy_consumption,perplexity,energy_loss,loss,date
112,3428,57,2,15,9,gelu,0.421891992,0.254540516,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,0.878825,1988.259491,1747.332147,7.595014907,43:11.8
113,1811,98,1,18,1332,gelu,0.445939905,0.241304278,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,1.79453,1873.31047,3361.711838,7.53546245,48:53.2
114,28912,34,3,13,1006,gelu,0.22680967,0.224972539,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.112653,2213.331631,2462.670079,7.702254185,41:55.1
115,27351,2,3,12,875,silu,0.322571829,0.100489263,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,0.409394,1191.845443,487.9343732,7.083258177,45:05.6
116,27021,5,3,15,2553,relu,0.619795432,0.759038507,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.59278,1670.31625,990.1300664,7.420768258,46:11.3
117,11561,49,6,16,60,gelu,0.325618181,0.111785407,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,2.048255,2285.820591,4681.943455,7.73448036,43:38.3
118,18592,39,2,7,1348,gelu,0.379006884,0.630673363,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.622084,479.1703489,298.0842073,6.172056169,14:29.0
119,2653,44,1,4,919,gelu,0.320409034,0.337783839,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.365843,471.8875341,172.6367511,6.156740682,01:16.3
120,30334,4,1,16,408,relu,0.353621861,0.199900222,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.214783,665.6162256,142.9630498,6.500713267,27:13.0
121,14665,74,7,10,2081,gelu_new,0.340895921,0.417201827,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,1.770654,2272.467989,4023.754535,7.72862174,13:24.6
122,26465,10,3,7,536,gelu_new,0.235153699,0.70231397,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.385253,476.1647438,183.4438961,6.165763895,57:23.4
123,20557,69,3,13,866,gelu,0.262743011,0.981660787,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,1.086203,2244.691543,2438.190688,7.716323394,15:06.1
124,27677,31,1,12,570,gelu,0.509836373,0.478741262,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,0.369099,1284.642845,474.1603895,7.158236017,45:55.6
125,21317,45,2,5,1648,gelu,0.258993868,0.337838582,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.538872,463.8836763,249.9739244,6.139633823,07:04.5
